GEOID,jobs_total,jobs_low_wage,jobs_medium_wage,jobs_high_wage,resident_workers_total,resident_workers_low_wage,resident_workers_medium_wage,resident_workers_high_wage
31055007462,3654,799,911,1944,2529,450,594,1485
31055007463,1564,507,556,501,2402,477,607,1318
31055007464,2021,154,496,1371,1606,269,323,1014
31055007465,953,142,237,574,2414,453,626,1335
31055007466,1285,471,385,429,3071,588,860,1623
31055007467,2904,555,882,1467,2515,450,760,1305
31055007468,616,145,190,281,1282,251,330,701
31055007469,524,146,186,192,2403,384,406,1613
31055007470,1056,354,402,300,3403,530,785,2088
31055007471,1305,710,330,265,1990,380,366,1244
31055007472,1374,509,470,395,2322,376,401,1545
31055007473,3555,243,658,2654,173,30,32,111
31055007474,6855,418,1148,5289,724,114,95,515
31055007504,3817,315,450,3052,1877,344,391,1142
31055007505,570,96,122,352,2506,477,438,1591
31055007506,2159,699,480,980,1852,311,378,1163
31055007508,1036,198,203,635,1432,292,290,850
31055007509,1807,215,262,1330,3674,661,543,2470
31055007514,1073,328,309,436,2010,388,282,1340
31055007515,1896,530,719,647,2638,477,438,1723
31055007516,439,68,110,261,2365,433,393,1539
31055007517,505,162,176,167,3977,628,687,2662
31055007518,2166,625,544,997,2273,425,527,1321
31055007519,4300,569,856,2875,3068,522,481,2065
31055007520,1122,392,436,294,2302,405,351,1546
31055007521,909,206,394,309,2210,366,399,1445
31055007522,510,147,125,238,1036,151,139,746
31055007523,627,81,194,352,1397,237,201,959
31055007524,6411,1628,1475,3308,2167,354,307,1506
