home_tract,work_tract,flow_jobs
31001965600,31055007506,2
31001965600,31055007508,1
31001965600,31055007515,1
31001965600,31055007520,2
31001965600,31055007521,1
31001965600,31055007524,2
31001965700,31055001800,3
31001965700,31055003100,2
31001965700,31055006805,1
31001965700,31055007001,1
31001965700,31055007101,2
31001965700,31055007407,1
31001965700,31055007409,4
31001965700,31055007439,2
31001965700,31055007445,1
31001965700,31055007451,1
31001965700,31055007474,1
31001965800,31055001600,1
31001965800,31055001800,1
31001965800,31055003500,1
31001965800,31055004000,1
31001965800,31055004200,1
31001965800,31055005100,1
31001965800,31055006504,1
31001965800,31055006701,1
31001965800,31055006805,1
31001965800,31055006806,3
31001965800,31055007001,2
31001965800,31055007101,1
31001965800,31055007320,1
31001965800,31055007407,1
31001965800,31055007409,4
31001965800,31055007434,1
31001965800,31055007445,1
31001965800,31055007449,2
31001965800,31055007452,1
31001965800,31055007454,1
31001965800,31055007457,2
31001965800,31055007466,1
31001965800,31055007467,1
31001965800,31055007524,1
31001965900,31055000400,1
31001965900,31055001600,1
31001965900,31055001800,1
31001965900,31055002900,1
31001965900,31055003100,2
31001965900,31055004000,3
31001965900,31055004400,4
31001965900,31055006400,2
31001965900,31055006504,1
31001965900,31055006701,2
31001965900,31055006704,1
31001965900,31055006803,2
31001965900,31055006905,1
31001965900,31055007001,2
31001965900,31055007003,2
31001965900,31055007320,2
31001965900,31055007409,5
31001965900,31055007443,2
31001965900,31055007444,2
31001965900,31055007445,1
31001965900,31055007448,2
31001965900,31055007449,1
31001965900,31055007454,1
31001965900,31055007457,1
31001965900,31055007470,1
31001965900,31055007472,2
31001965900,31055007473,1
31001965900,31055007474,2
31001965900,31055007504,1
31001965900,31055007515,1
31001965900,31055007524,1
31001966000,31055000500,1
31001966000,31055001600,1
31001966000,31055002900,2
31001966000,31055003100,1
31001966000,31055004000,2
31001966000,31055004300,1
31001966000,31055004400,1
31001966000,31055004800,1
31001966000,31055005400,1
31001966000,31055006400,1
31001966000,31055006505,1
31001966000,31055006605,1
31001966000,31055006701,1
31001966000,31055006803,2
31001966000,31055006806,1
31001966000,31055007001,3
31001966000,31055007003,2
31001966000,31055007101,1
31001966000,31055007312,1
31001966000,31055007318,1
31001966000,31055007406,1
31001966000,31055007409,8
31001966000,31055007431,1
31001966000,31055007444,1
31001966000,31055007445,2
31001966000,31055007448,2
31001966000,31055007449,1
31001966000,31055007451,1
31001966000,31055007452,1
31001966000,31055007454,1
31001966000,31055007457,2
31001966000,31055007464,1
31001966000,31055007466,1
31001966000,31055007467,1
31001966000,31055007474,2
31001966000,31055007506,1
31001966000,31055007509,1
31001966000,31055007523,1
31001966000,31055007524,1
31001966100,31055001600,1
31001966100,31055001800,1
