GEOID,tract_label,median_rent,median_household_income,affordable_rent_estimate,vehicle_households_total,households_without_vehicles,no_vehicle_share,poverty_universe,population_below_poverty,poverty_rate,civilian_labor_force,unemployed_population,unemployment_rate,race_ethnicity_total,nh_white_population,nh_black_population,nh_native_population,nh_asian_population,nh_pacific_population,nh_other_population,nh_two_or_more_population,hispanic_population,nh_white_share,nh_black_share,nh_native_share,nh_asian_share,nh_pacific_share,nh_other_share,nh_two_or_more_share,hispanic_share,people_of_color_share,education_25plus_total,hs_plus_population,bachelors_plus_population,hs_plus_share,bachelors_plus_share,rent_burden_universe,rent_burdened_households,rent_burden_rate,acs_year
31055007452,Census Tract 74.52; Douglas County; Nebraska,1073.0,157250.0,3931.25,1762.0,62.0,0.03518728717366629,4922.0,94.0,0.01909792767167818,2925.0,87.0,0.029743589743589743,4942.0,3748.0,101.0,3.0,639.0,0.0,12.0,188.0,251.0,0.7583974099554837,0.020437070012140835,0.0006070416835289356,0.12929987859166328,0.0,0.0024281667341157424,0.03804127883447997,0.050789154188587614,0.24160259004451634,3302.0,3255.0,2131.0,0.9857662023016354,0.645366444579043,93.0,19.0,0.20430107526881722,2024
31055007453,Census Tract 74.53; Douglas County; Nebraska,2146.0,138333.0,3458.3250000000003,1324.0,23.0,0.017371601208459216,3575.0,41.0,0.01146853146853147,2262.0,74.0,0.032714412024756855,3575.0,3163.0,73.0,0.0,60.0,0.0,71.0,132.0,76.0,0.8847552447552448,0.02041958041958042,0.0,0.016783216783216783,0.0,0.01986013986013986,0.036923076923076927,0.02125874125874126,0.11524475524475519,2370.0,2359.0,1356.0,0.9953586497890295,0.5721518987341773,92.0,3.0,0.03260869565217391,2024
31055007454,Census Tract 74.54; Douglas County; Nebraska,1778.0,107581.0,2689.525,1844.0,91.0,0.04934924078091106,4287.0,182.0,0.042453930487520414,2252.0,35.0,0.015541740674955595,4418.0,3738.0,79.0,23.0,41.0,0.0,24.0,149.0,364.0,0.8460842009959257,0.017881394296061566,0.00520597555454957,0.009280217292892712,0.0,0.005432322317790856,0.03372566772295156,0.08239022181982798,0.15391579900407426,3227.0,3102.0,1557.0,0.9612643321970871,0.48249147815308335,632.0,245.0,0.3876582278481013,2024
31055007455,Census Tract 74.55; Douglas County; Nebraska,1221.0,58592.0,1464.8,882.0,9.0,0.01020408163265306,1621.0,174.0,0.10734114743985194,1110.0,32.0,0.02882882882882883,1621.0,1334.0,33.0,0.0,24.0,0.0,0.0,46.0,184.0,0.8229487970388649,0.020357803824799507,0.0,0.014805675508945095,0.0,0.0,0.0283775447254781,0.1135101789019124,0.17705120296113508,1204.0,1112.0,360.0,0.9235880398671097,0.29900332225913623,553.0,260.0,0.4701627486437613,2024
31055007456,Census Tract 74.56; Douglas County; Nebraska,1165.0,70982.0,1774.55,1021.0,14.0,0.013712047012732615,2252.0,266.0,0.11811722912966252,1235.0,2.0,0.0016194331983805667,2252.0,1974.0,0.0,0.0,52.0,0.0,0.0,65.0,161.0,0.8765541740674956,0.0,0.0,0.023090586145648313,0.0,0.0,0.02886323268206039,0.07149200710479574,0.12344582593250442,1569.0,1459.0,497.0,0.9298916507329509,0.31676226896112175,330.0,102.0,0.3090909090909091,2024
31055007457,Census Tract 74.57; Douglas County; Nebraska,974.0,58148.0,1453.6999999999998,1306.0,141.0,0.10796324655436447,2191.0,193.0,0.08808763121862163,1395.0,20.0,0.014336917562724014,2191.0,1767.0,119.0,6.0,102.0,1.0,0.0,88.0,108.0,0.806481058877225,0.054313099041533544,0.0027384755819260614,0.04655408489274304,0.00045641259698767686,0.0,0.040164308534915566,0.0492925604746691,0.193518941122775,1653.0,1506.0,648.0,0.911070780399274,0.39201451905626133,921.0,359.0,0.38979370249728557,2024
31055007458,Census Tract 74.58; Douglas County; Nebraska,967.0,67614.0,1690.3500000000001,1281.0,88.0,0.06869633099141297,2576.0,281.0,0.10908385093167702,1660.0,97.0,0.058433734939759036,2576.0,1294.0,451.0,0.0,95.0,0.0,0.0,109.0,627.0,0.5023291925465838,0.1750776397515528,0.0,0.03687888198757764,0.0,0.0,0.04231366459627329,0.24340062111801242,0.4976708074534162,1907.0,1849.0,608.0,0.9695857367593078,0.3188253801782905,738.0,234.0,0.3170731707317073,2024
31055007459,Census Tract 74.59; Douglas County; Nebraska,1207.0,59036.0,1475.8999999999999,1665.0,103.0,0.061861861861861864,3463.0,186.0,0.05371065550101069,1999.0,51.0,0.025512756378189096,3467.0,2221.0,19.0,10.0,20.0,0.0,43.0,172.0,982.0,0.6406114796654168,0.0054802422843957315,0.002884338044418806,0.005768676088837612,0.0,0.012402653591000866,0.049610614364003464,0.28324199596192673,0.35938852033458324,2308.0,1996.0,637.0,0.8648180242634316,0.27599653379549394,818.0,362.0,0.44254278728606355,2024
31055007460,Census Tract 74.60; Douglas County; Nebraska,1476.0,172619.0,4315.474999999999,1404.0,10.0,0.007122507122507123,4497.0,170.0,0.0378029797642873,2214.0,39.0,0.017615176151761516,4497.0,3794.0,11.0,0.0,300.0,0.0,0.0,216.0,176.0,0.8436735601512119,0.0024460751612185904,0.0,0.066711140760507,0.0,0.0,0.04803202134756504,0.039137202579497446,0.15632643984878813,2763.0,2706.0,1805.0,0.9793702497285559,0.6532754252623959,46.0,18.0,0.391304347826087,2024
31055007461,Census Tract 74.61; Douglas County; Nebraska,1470.0,151783.0,3794.5750000000003,2207.0,35.0,0.0158586316266425,6107.0,80.0,0.013099721630915342,3646.0,58.0,0.015907844212835986,6107.0,4867.0,102.0,0.0,529.0,0.0,2.0,341.0,266.0,0.7969543147208121,0.01670214507941706,0.0,0.0866219092844277,0.0,0.0003274930407728836,0.05583756345177665,0.043556574422793516,0.20304568527918787,4016.0,3876.0,2000.0,0.9651394422310757,0.49800796812749004,511.0,116.0,0.22700587084148727,2024
